Target URL,Referring domains,Dofollow referring domains,Total backlinks,Max domain rating
https://allmedtests.com/,193,53,214,80
https://allmedtests.com/spectrophotometer-working-principle-use-applications/,4,0,4,81
https://allmedtests.com/benedicts-test-reducing-sugar/,2,2,2,20
https://allmedtests.com/separation-amino-acids-paper-chromatography/,2,1,2,18
https://allmedtests.com/abo-and-rh-blood-grouping/,2,0,2,0
https://allmedtests.com/clinical-examination-sensory-system/,1,0,1,6
https://allmedtests.com/photoelectric-colorimeter/,1,0,1,13
https://allmedtests.com/creatine-kinase-test/,1,1,1,52
https://allmedtests.com/serum-urea-test-kinetic-uv-method/,1,0,1,6
https://allmedtests.com/blood-glucose-test/,1,1,1,28
