article_slug,thumbnail_url,thumbnail_restored,original_url,original_found,original_restored,original_referring_domains
spectrophotometer-working-principle-use-applications,https://allmedtests.com/wp-content/uploads/2017/02/Spectrophotometer-Working-Principle-Use-and-Applications-300x152.png,да,https://allmedtests.com/wp-content/uploads/2017/02/Spectrophotometer-Working-Principle-Use-and-Applications.png,нет,нет,0
benedicts-test-reducing-sugar,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-reaction-300x167.png,да,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-reaction.png,нет,нет,0
benedicts-test-reducing-sugar,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-test-300x172.jpg,нет,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-test.jpg,нет,нет,0
blood-glucose-test,https://allmedtests.com/wp-content/uploads/2017/03/blood-glucose-test-by-glucose-oxidase-method-300x265.jpg,да,https://allmedtests.com/wp-content/uploads/2017/03/blood-glucose-test-by-glucose-oxidase-method.jpg,нет,нет,0
creatine-kinase-test,https://allmedtests.com/wp-content/uploads/2017/06/Creatine-Kinase-Test-principle-procedure-and-results-300x176.jpg,да,https://allmedtests.com/wp-content/uploads/2017/06/Creatine-Kinase-Test-principle-procedure-and-results.jpg,да,да,0
serum-urea-test-kinetic-uv-method,https://allmedtests.com/wp-content/uploads/2017/03/serum-urea-test-by-kinetic-uv-method-300x154.png,да,https://allmedtests.com/wp-content/uploads/2017/03/serum-urea-test-by-kinetic-uv-method.png,нет,нет,0
abo-and-rh-blood-grouping,https://allmedtests.com/wp-content/uploads/2017/06/ABO-and-RH-Blood-Grouping-300x193.png,да,https://allmedtests.com/wp-content/uploads/2017/06/ABO-and-RH-Blood-Grouping.png,да,да,9
separation-amino-acids-paper-chromatography,https://allmedtests.com/wp-content/uploads/2017/03/separation-of-amino-acids-by-paper-chromatography-300x220.jpg,да,https://allmedtests.com/wp-content/uploads/2017/03/separation-of-amino-acids-by-paper-chromatography.jpg,нет,нет,0
clinical-examination-sensory-system,https://allmedtests.com/wp-content/uploads/2016/11/clincal-examination-of-sensory-system-300x184.jpg,нет,https://allmedtests.com/wp-content/uploads/2016/11/clincal-examination-of-sensory-system.jpg,нет,нет,0
photoelectric-colorimeter,https://allmedtests.com/wp-content/uploads/2016/12/photoelectric-colorimeter-its-definition-principle-working-and-applications-300x254.png,да,https://allmedtests.com/wp-content/uploads/2016/12/photoelectric-colorimeter-its-definition-principle-working-and-applications.png,нет,нет,0
