article_slug,original_src,alt_text
spectrophotometer-working-principle-use-applications,https://allmedtests.com/wp-content/uploads/2017/02/Spectrophotometer-Working-Principle-Use-and-Applications-300x152.png,Spectrophotometer
benedicts-test-reducing-sugar,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-reaction-300x167.png,benedict's test mechanism
benedicts-test-reducing-sugar,https://allmedtests.com/wp-content/uploads/2016/04/benedicts-test-300x172.jpg,Benedict's test results
blood-glucose-test,https://allmedtests.com/wp-content/uploads/2017/03/blood-glucose-test-by-glucose-oxidase-method-300x265.jpg,blood glucose test
creatine-kinase-test,https://allmedtests.com/wp-content/uploads/2017/06/Creatine-Kinase-Test-principle-procedure-and-results-300x176.jpg,Creatine Kinase Test
serum-urea-test-kinetic-uv-method,https://allmedtests.com/wp-content/uploads/2017/03/serum-urea-test-by-kinetic-uv-method-300x154.png,serum urea test
abo-and-rh-blood-grouping,https://allmedtests.com/wp-content/uploads/2017/06/ABO-and-RH-Blood-Grouping-300x193.png,ABO and RH Blood Grouping
separation-amino-acids-paper-chromatography,https://allmedtests.com/wp-content/uploads/2017/03/separation-of-amino-acids-by-paper-chromatography-300x220.jpg,Separation Of Amino Acids By Paper Chromatography
clinical-examination-sensory-system,https://allmedtests.com/wp-content/uploads/2016/11/clincal-examination-of-sensory-system-300x184.jpg,clincal examination of sensory system
photoelectric-colorimeter,https://allmedtests.com/wp-content/uploads/2016/12/photoelectric-colorimeter-its-definition-principle-working-and-applications-300x254.png,photoelectric colorimeter
