city,provider_name,source_url,checked_date,notes
warszawa,Diagnostyka,https://diag.pl/placowki/warszawa/punkt-pobran-diagnostyki-warszawa-ul-jana-kazimierza-43u2/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 01-251 Warszawa, ul. Jana Kazimierza 43/U2."
warszawa,ALAB laboratoria,https://www.alab.pl/punkty-pobran/warszawa/punkt-pobran-warszawa-alab-ul-zawiszy-14,2026-08-19,"Official ALAB collection-point page. Example public address: 01-167 Warszawa, ul. Zawiszy 14."
warszawa,Synevo,https://synevo.pl/punkty-pobran/warszawa/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: ul. Powstańców Śląskich 45, Warszawa."
krakow,Diagnostyka,https://diag.pl/placowki/krakow/punkt-pobran-diagnostyki-krakow-ul-balicka-35/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 30-149 Kraków, ul. Balicka 35."
krakow,ALAB laboratoria,https://www.alab.pl/punkty-pobran/krakow/punkt-pobran-krakow-alab-ul-czyzewskiego-5,2026-08-19,"Official ALAB collection-point page. Example public address: 30-085 Kraków, ul. Czyżewskiego 5."
krakow,Synevo,https://synevo.pl/punkty-pobran/krakow/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: ul. gen. Leopolda Okulickiego 49/2, Kraków."
wroclaw,Diagnostyka,https://diag.pl/placowki/wroclaw/punkt-pobran-diagnostyki-wroclaw-ul-warszawska-2/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 52-114 Wrocław, ul. Warszawska 2."
wroclaw,ALAB laboratoria,https://www.alab.pl/punkty-pobran/wroclaw/punkt-pobran-wroclaw-alab-ul-hallera-1841,2026-08-19,"Official ALAB collection-point page. Example public address: 53-203 Wrocław, ul. Hallera 184/1."
wroclaw,Synevo,https://synevo.pl/punkty-pobran/wroclaw/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: ul. Cedrowa 4, Wrocław."
poznan,Diagnostyka,https://diag.pl/placowki/poznan/punkt-pobran-diagnostyki-poznan-ul-lemierzycka-1/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 60-439 Poznań, ul. Lemierzycka 1."
poznan,ALAB laboratoria,https://www.alab.pl/punkty-pobran/poznan/punkt-pobran-poznan-alab-ul-wichrowe-wzgorze-16,2026-08-19,"Official ALAB collection-point page. Example public address: 61-676 Poznań, ul. Wichrowe Wzgórze 16."
poznan,Synevo,https://synevo.pl/punkty-pobran/poznan/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: ul. Juliusza Słowackiego 50/1, Poznań."
gdansk,Diagnostyka,https://diag.pl/placowki/gdansk/punkt-pobran-diagnostyki-gdansk-ul-jana-pawla-ii-20u4/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 80-462 Gdańsk, ul. Jana Pawła II 20/U4."
gdansk,ALAB laboratoria,https://www.alab.pl/punkty-pobran/gdansk/punkt-pobran-gdansk-alab-ul-subislawa-27c5,2026-08-19,"Official ALAB collection-point page. Example public address: 80-354 Gdańsk, ul. Subisława 27C/5."
gdansk,Synevo,https://synevo.pl/punkty-pobran/gdansk/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: Aleja Grunwaldzka 76/78, Gdańsk."
lodz,Diagnostyka,https://diag.pl/placowki/lodz/punkt-pobran-diagnostyki-lodz-ul-kilinskiego-193/,2026-08-19,"Official Diagnostyka collection-point page. Example public address: 93-126 Łódź, ul. Kilińskiego 193."
lodz,ALAB laboratoria,https://www.alab.pl/punkty-pobran/lodz/punkt-pobran-lodz-alab-ul-kilinskiego-121,2026-08-19,"Official ALAB collection-point page. Example public address: 90-013 Łódź, ul. Kilińskiego 121."
lodz,Synevo,https://synevo.pl/punkty-pobran/lodz/,2026-08-19,"Official Synevo city listing. Example public address shown in listing: al. marsz. Józefa Piłsudskiego 14, Łódź."
